,src,target,model_pred
355,rt username : [ hq ] 140524 baekhyun - exo from exoplanet hashtag - the lost planet concert ( cr : supernova ) httpurl,rt username : [ hq ] 140524 baekhyun - exo from exoplanet hashtag - the lost planet concert ( cr : supernova ) httpurl,rt username : [ hq ] 140524 baekhyun - exo from exoplanet hashtag - the lost planet concert ( cr : supernova ) httpurl
356,flatshoes animal printing 45 . 000 made by bali cek - - > username pin : 27bf53b0 / 087722042186 hashtag httpurl,flatshoes animal printing 45 . 000 made by bali cek - - > username pin : 27bf53b0 / 087722042186 hashtag httpurl,flatshoes animal printing 45 . 000 made by bali cek - - > username pin : 27bf53b0 / 087722042186 hashtag httpurl
357,it is soooo hot n ma dam room i barely can breathe smh how am i gne make it thru da nite,it is so hot in my damn room i barely can breathe shaking my head how am i gonna make it through the night,it is so hot in my damn room i barely can breathe shaking my head how am i gonna make it through the night
358,rt username : smilers ! vote for miley by tweeting the hashtag hashtag on twitter ! < 3 httpurl,rt username : smilers ! vote for miley by tweeting the hashtag hashtag on twitter ! < 3 httpurl,rt username : smilers ! vote for miley by tweeting the hashtag hashtag on twitter ! < 3 httpurl
359,i'm at brenda's house ( caxias do sul ) httpurl,i'm at brenda's house ( caxias do sul ) httpurl,i'm at brenda's house ( caxias do sul ) httpurl
360,username do u have r's ? i dont see it saved in here : (,username do you have r's ? i don't see it saved in here : (,username do you have r's ? i don't see it saved in here : (
361,username omg someone has unfollowed u she won't be the 1st or the last how will u possibly sleep tonight,username oh my god someone has unfollowed you she won't be the 1st or the last how will you possibly sleep tonight,username oh my god someone has unfollowed you she won't be the 1st or the last how will you possibly sleep tonight
362,idk but i can't go a day without tumblr and i'm starting to get worried,i don't know but i can't go a day without tumblr and i'm starting to get worried,i don't know but i can't go a day without tumblr and i'm starting to get worried
363,". username maybe he was told by "" faal wala tota """,". username maybe he was told by "" faal wala tota """,". username maybe he was told by "" faal wala tota """
364,username still whoopin that hoe and the teachers just walking along lmao,username still whooping that hoe and the teachers just walking along laughing my ass off,username still whooping that hoe and the teachers just walking along laughing my ass off
365,heard dat computers go off during c b t . . . . hcc babes pray 4 us oohh . . . . . make our own no go off : (,heard that computers go off during c b t . . . . hcc babes pray for us oohh . . . . . make our own no go off : (,heard that computers go off during c b t . . . httpurl babes pray for us oohh . . ! . . make our own no go off : (
366,username o thats great ; ) aur whats up ; ),username o that's great ; ) aur what's up ; ),username o that's great ; ) aur what's up ; )
367,stop it . . . the spurs aint gon win it hashtag,stop it . . . the spurs ain't gonna win it hashtag,stop it . . . the spurs ain't gonna win it hashtag
368,"username yes , it's only 19 days to ! are you ready for the miley cyrus consert ?","username yes , it's only 19 days to ! are you ready for the miley cyrus consert ?","username yes , it's only 19 days to ! are you ready for the miley cyrus consert ?"
369,i doing like taryn what i dont know look up,i doing like trying what i don't know look up,i doing like trying what i don't know look up
370,username username username o srry plasma and luis,username username username oh sorry plasma and luis,username username
371,username one month of the avril lavigne tour hashtag < 3 i love you . 14,username one month of the avril lavigne tour hashtag < 3 i love you . 14,username one month of the avril lavigne tour hashtag < 3 i love you . 14
372,rt username : hashtag near majlis with mohamed nasheed httpurl,rt username : hashtag near majlis with mohamed nasheed httpurl,rt username : hashtag near majlis with mohamed nasheed httpurl
373,username or you just know how to apply makeup ? hahahah lol,username or you just know how to apply makeup ? hahahah laughing out loud,username or you just know how to apply makeup ? hahahah laughing out loud
374,username fredo ilysm can u follow me please ? x69,username fredo i love you so much can you follow me please ? x69,username fredo i love you so much can you follow me please ? x69
375,ryan lowkey is the squads thot just ask bardo . ryan smacked his ass today,ryan lowkey is the squads thot just ask bardo . ryan smacked his ass today,ryan lowkey is the squads thot just ask bardo . ryan smacked his ass today
376,rt username : because luhan looks so manly when he's doing sports . . . luhan and sports appreciation tweet httpurl,rt username : because luhan looks so manly when he's doing sports . . . luhan and sports appreciation tweet httpurl,rt username : because luhan looks so manly when he's doing sports . . . luhan and sports appreciation tweet httpurl
377,omg lol you ladies and gents have to follow username he is way too funny !,oh my god laughing out loud you ladies and gentlemen have to follow username he is way too funny !,oh my god laughing out loud you ladies and gentlemen have to follow username he is way too funny !
378,omg im mean . i laughed at a holocaust joke,oh my god i mean . i laughed at a holocaust joke,oh my god i mean . i laughed at a holocaust joke
379,rt username : hashtag kamu cewek ? sini dong free hugh loh : p,rt username : hashtag kamu cewek ? sini dong free hugh loh : p,rt username : hashtag kamu cewek ? sini dong free hugh loh : p
380,everyones warning me about vixx tv well shit,everyone's warning me about vixx tv well shit,everyone's warning me about vixx tv well shit
381,i like how i have so much hw due tomorrow but i'm here watching tv lol,i like how i have so much homework due tomorrow but i'm here watching tv laughing out loud,i like how i have so much homework due tomorrow but i'm here watching tv laughing out loud
382,"rt username : "" mc : why do u work so hard exo : we need to pay for our dorm rent "" sad case haha","rt username : "" mc : why do you work so hard exo : we need to pay for our dorm rent "" sad case haha","rt username : "" mc : why do you work so hard exo : we need to pay for our dorm rent "" sad case haha"
383,username thank you brave frontier . and thank you pheobe senpai for staying with us : d,username thank you brave frontier . and thank you pheobe senpai for staying with us : d,username thank you brave frontier . and thank you pheobe senpai for staying with us : d
384,sigh it could've been betetr if zayn was there tbh,sigh it could have been better if zayn was there to be honest,sigh it could have been better if zayn was there to be honest
385,psg ' merit ban for disability abuse ' : uefa should look at throwing paris st - german out of the champions league if their fans are foun . . .,psg ' merit ban for disability abuse ' : uefa should look at throwing paris st - german out of the champions league if their fans are foun . . .,psg'merit ban for disability abuse': uefa should look at throwing paris st - german out of the champions league if their fans are foun . . .
386,rt username : elin danielson gambogi - after breakfast . httpurl,rt username : elin danielson gambogi - after breakfast . httpurl,rt username : elin danielson gambogi - after breakfast . httpurl
387,"meg just said "" im going to die because i didnt get my tetnus shot before i ate microwaved bacon ""","meg just said "" i'm going to die because i didn't get my tetnus shot before i ate microwaved bacon ""","meg just said "" i'm going to die because i didn't get my tetnus shot before i ate microwaved bacon """
388,idiot n liar : kentucky newspaper slams mitch mcconnell's obamacare doublespeak httpurl via username,idiot and liar : kentucky newspaper slams mitch mcconnell's obamacare doublespeak httpurl via username,idiot and liar : kentucky newspaper slams mitch mcconnell's obamacare doublespeak httpurl via username
389,rt username : lil durk x otf nunu - oc > > > hard af,rt username : little durk x otf nunu - oc > > > hard af,rt username : little durk x otf nunu - oc > > > hard af
390,username aww thank you : ) lmao but honestly this black magic is scary now . i can't,username aww thank you : ) laughing my ass off but honestly this black magic is scary now . i can't,username aww thank you : ) laughing my ass off but honestly this black magic is scary now . i can't
391,tbt live update : pm sheikh hasina returns home prime minister sheikh hasina returned home this morning after . . . httpurl,tbt live update : pm sheikh hasina returns home prime minister sheikh hasina returned home this morning after . . . httpurl,tbt live update : pm sheikh hasina returns home prime minister sheikh has changed home this morning after . . . httpurl
392,"calum hood , ashton irwin , luke hemmings , michael clifford from 5sos follow me so i can send you uncomfortable dm's haha 971","calum hood , ashton irwin , luke hemmings , michael clifford from 5sos follow me so i can send you uncomfortable dm's haha 971","calum hood , ashton irwin , luke hemmings , michael clifford from 5sos follow me so i can send you uncomfortable dm's haha 971"
393,""" username : eh ! laylow on d beat , lolz "" username "" username : he gon lay low trust me "" username : my bf is the httpurl",""" username : eh ! laylow on the beat , laughing out loud "" username "" username : he gonna lay low trust me "" username : my boyfriend is the httpurl",""" username : eh ! laylow on the beat , laughing out loud "" user name "" userdom : he gonna lay low trust me "" user meet you my boyfriend is the httpurl"
394,i should start drinkin henny with my hood niggas,i should start drinking henny with my hood niggers,i should start drinking henny with my hood niggers
395,"ankit has voted for "" tollyimages : amritha rao hot p . . . "" on the poll hot amrita rao httpurl httpurl","ankit has voted for "" tollyimages : amritha rao hot p . . . "" on the poll hot amrita rao httpurl httpurl","ankit has voted for "" tollyimages : amritha rao hot p . . . "" on the poll hot amrita rao httpurl httpurlsurl"
396,i swear i screamed when superwoman started singing appadi podu xd,i swear i screamed when superwoman started singing appadi podu xd,i swear i screamed when superwoman started singing appadi podu xd
397,"username naw a nigga representin . . . bangin , set trippin . . . it is what it is ! ! !","username now a nigger representing . . . bangin , set tripping . . . it is what it is ! ! !","username now a nigger representing . . . bangin , set tripping . . ! it is what it is ! ! !"
398,imma sip all up on my last caffeinated hashtag i stored from b4 tha purge . fuk hashtag hashtag hashtag hashtag hashtag,i'm going to sip all up on my last caffeinated hashtag i stored from before the purge . fuck hashtag hashtag hashtag hashtag hashtag,i'm going to sip all up on my last caffeinated hashtag i stored from before the purge . fuck hashtag hashtag ya'll sip all down on my second caffee hashtag
399,ets 2 metallic paint dlc patch 1 . 10 . 1,ets 2 metallic paint dlc patch 1 . 10 . 1,ets 2 metallic paint dlc patch 1 . 10 . 1
400,i love love love my new macbook omg .,i love love love my new macbook oh my god .,i love love love my new macbook oh my god .
401,rt username : i keep telling u niggas . . . lifting weights don't teach you how to fight . lol httpurl,rt username : i keep telling you niggers . . . lifting weights don't teach you how to fight . laughing out loud httpurl,rt username : i keep telling you niggers . . . lifting weights don't teach you how to fight . laughing out loud httpurl
402,' bitch please ' ho sakta hai to ' dog please ' kyun nahin ho sakta ? ? ?,' bitch please ' ho sakta hai to ' dog please ' kyun nahin ho sakta ? ? ?,' bitch please'ho sakta hai to'dog please'kyun nahin ho sakita ? ? ?
403,parmesean garlic / louisiana rub ftw ! ! !,parmesean garlic / louisiana rub for the win ! ! !,parmesean garlic / louisiana rub for the win ! ! !
404,"rt username : sean , darragh and i , in croke park ! unbelievable weekend ! httpurl","rt username : sean , darragh and i , in croke park ! unbelievable weekend ! httpurl","rt username : sean , darragh and i , in croke park ! unbelievable weekend ! httpurl"
405,ion fuck with to many niggas they aint equal,ion fuck with to many niggers they ain't equal,ion fuck with to many niggers they ain't equal
406,"rt username : why all the unloyal hoe bitches be screamin "" these hoes ain't loyal "" we talkin bout you blood .","rt username : why all the unloyal hoe bitches be screaming "" these hoes ain't loyal "" we talking about you blood .","rt username : why all the unloyal hoe bitches be screaming "" these hoes ain't loyal "" we talking about you blood ."
407,username r u sure someone isn't stealing it ? ! lol,username are you sure someone isn't stealing it ? ! laughing out loud,username are you sure someone isn't stealing it ? ! laughing out loud
408,bored chilln trying to find some to do havnt been on twitter in forever lol,bored chilling trying to find some to do haven't been on twitter in forever laughing out loud,bored chilling trying to find some to do haven't been on twitter in forever laughing out loud
409,dont expect your relationship to go far if you dont let your guard down,don't expect your relationship to go far if you don't let your guard down,don't expect your relationship to go far if you don 't let your guard down
410,"username naw , av heard its class though ! johnny knoxville's an absolute hero haha","username now , av heard its class though ! johnny knoxville's an absolute hero haha","username now , av heard its class though ! johnny knoxville's an absolute hero haha"
411,rt username : hashtag | hashtag prime minister nawaz sharif will be attending narendra hashtag swearing - in on monday,rt username : hashtag | hashtag prime minister nawaz sharif will be attending narendra hashtag swearing - in on monday,rt username : hashtag | hashtag prime minister nawaz sharif will be attending narendra hashtag swearing - in on monday
412,username if you ever awnser the phone you woyld know and did you go download tamgo yet,username if you ever answer the phone you would know and did you go download tamgo yet,username if you ever answer the phone you would know and did you go download tamgo yet
413,hit maximum likes lovers for joaquim abranches . soubhik httpurl,hit maximum likes lovers for joaquim abranches . soubhik httpurl,hit maximum likes lovers for joaquim abranches . soubhik httpurl
414,not even kidding when kali pulls up in my drive way im jumping on her thats how much ive missed her,not even kidding when kali pulls up in my drive way i'm jumping on her that's how much i've missed her,not even kidding when kali pulls up in my drive way i'm jumping on her that's how much i've missed her
415,rt username : hollaback girl by gwen stefani just describes my life perfectly okay,rt username : hollaback girl by gwen stefani just describes my life perfectly okay,rt username : hollaback girl by gwen stefani just describes my life perfectly okay
416,fucka boo im bout tired of a boo i need a bae frfr,fuck boo i'm about tired of a boo i need a bae for real for real,fuck boo i'm about tired of a boo i need a bae for real for real
417,happy birthday brooo ! ! ! ! ! . . . . wish u all d best . . may allah blessing u all the time . . . glad for u . . httpurl,happy birthday brother ! ! ! ! ! . . . . wish you all the best . . may allah blessing you all the time . . . glad for you . . httpurl,happy birthday brother ! ! ! . . . httpurl
418,"username hiii how are you ? if u see this tweet folllow me pls ! means a lot to me , i love u x30","username hiii how are you ? if you see this tweet follow me please ! means a lot to me , i love you x30","username hiii how are you ? if you see this tweet follow me please ! means a lot to me , i love you x30"
419,rt username : u gotta strike out a few times to know what a good homerun feel like,rt username : you gotta strike out a few times to know what a good homerun feel like,rt username : you gotta strike out a few times to know what a good homerun feel like
420,"username johnson elive * and no one says that anymore lmao . . . anyways yeah i agree with you , and theres 4 of us . hashtag","username johnson elive * and no one says that anymore laughing my ass off . . . anyways yeah i agree with you , and there's 4 of us . hashtag","username johnson elive * and no one says that anymore laughing my ass off . . . anyways yeah i agree with you , and there's 4 of us . hashtag"
421,hashtag on hashtag yiyo sarante - homenaje a willy gonzales click to listen httpurl,hashtag on hashtag yiyo sarante - homenaje a willy gonzales click to listen httpurl,hashtag on hashtag yiyo sarante - homenaje a willy gonzales click to listen httpurl
422,huhuhuhuhuh keep that postcard set and polaroid set away from my tlist . . . . . . . . . . .,huhuhuhuhuh keep that postcard set and polaroid set away from my tlist . . . . . . . . . . .,"huhuhuhuhu keep that postcard set and polaroid set away from my tlist . . . , . . httpurl"
423,rt username : me encanta all of the stars de ed sheeran .,rt username : me encanta all of the stars de ed sheeran .,rt username : me encanta all of the stars de ed sheeran .
424,jeesh miley went on an insta benge today hashtag,jeesh miley went on an insta benge today hashtag,jeesh miley went on an insta benge today hashtag
425,the cost of living eu nao me canso desse filme,the cost of living eu nao me canso desse filme,the cost of living eu nao me canso desse filme
426,username username weddings in the summer in aruba ofc u guys r my bridesmaids,username username weddings in the summer in aruba ofc your guys are my bridesmaids,username username weddings in the summer in aruba ofc your guys are my bridesmaids
427,i'm all late listening to vato by dj mustard lol,i'm all late listening to vato by dj mustard laughing out loud,i'm all late listening to vato by dj mustard laughing out loud
428,i've voted for my favourite ! vote for your favourite idea and win an amazing nokia lumia 1520 . hashtag httpurl 25 .,i've voted for my favorite ! vote for your favorite idea and win an amazing nokia lumia 1520 . hashtag httpurl 25 .,i've voted for my favorite ! vote for your favorite idea and win an amazing nokia lumia 1520 . hashtag httpurl 25 .
429,u got something on yo mind nigga,you got something on your mind nigger,you got something on your mind nigger
430,he is almost thwre and im cruing hashtag omg,he is almost there and i'm cruing hashtag oh my god,he is almost there and i'm cruing hashtag oh my god
431,rt username : weed aint even a fuckin strong ass drug why the fuck is everyone getting butthurt over this l m a o,rt username : weed ain't even a fucking strong ass drug why the fuck is everyone getting butt hurt over this laughing my ass off,rt username : weed ain't even a fucking strong ass drug why the fuck is everyone getting butt hurt over this laughing my ass off
432,username i barely realise that it was showing whn it was in the 3rd qtr,username i barely realize that it was showing when it was in the 3rd quarter,username i barely realize that it was showing when it was in the 3rd quarter
433,please let me hashtag please username lou sushmita mae bernardino 3058,please let me hashtag please username lou sushmita mae bernardino 3058,please let me hashtag please username lou sushmita mae bernardino 3058
434,tay is my fav bc she loves me and my legs,tay is my favorite because she loves me and my legs,tay is my favorite because she loves me and my legs
435,rt username : send reinforcements . david dimbleby just took one of my freddos .,rt username : send reinforcements . david dimbleby just took one of my freddos .,rt username : send reinforcements . david dimbleby just took one of my freddos .
436,rt username : when bae hasn't texted you all day . httpurl,rt username : when bae hasn't texted you all day . httpurl,rt username : when bae hasn't texted you all day . httpurl
437,rt username : yunho : we are t ! ! ! ! httpurl,rt username : yunho : we are t ! ! ! ! httpurl,rt username : yunho : we are t ! ! ! - httpurl
438,rt username : username sameee heree ! ! nigga she made it * drake voice *,rt username : username same here ! ! nigger she made it * drake voice *,rt username : username same here ! ! nigger she made it * drake voice *
439,"i know cous ! u , corrina , gwyn etc are . is mary and gwyn fighting ? coz of everything between kev , rob and lindsey username","i know cous ! you , corrina , gwyn etc are . is mary and gwyn fighting ? because of everything between kev , rob and lindsey username","i know cous ! you , corrina , gwyn etc are . is mary and gwyn fighting ? because of everything between kev , rob and lindsey username"
440,"rt username : mms is looking very happy , smiling and even walking fast ! wah ! !","rt username : mms is looking very happy , smiling and even walking fast ! wah ! !","rt username : mms is looking very happy , smiling and even walking fast ! wah ! !"
441,rt username : best snapchat i've seen all day lmao . . . httpurl,rt username : best snapchat i've seen all day laughing my ass off . . . httpurl,rt username : best snapchat i've seen all day laughing my ass off . . . httpurl
442,"username lol - i'd love to see youngsters watching this , bet they're thinking wahat the fuck ! lol","username laughing out loud - i'd love to see youngsters watching this , bet they're thinking what the fuck ! laughing out loud","username laughing out loud - i'd love to see youngsters watching this , bet they're thinking what the fuck ! laughing outl"
443,rt username : username awks i thought it was cause i was on twitter and yeaa so awks bye felicia,rt username : username awkwards i thought it was because i was on twitter and yes so awkwards bye felicia,rt username : username awkwards i thought it was because i was on twitter and yes so awkwards bye felicia
444,ismail cuneyt oktay demonstrates the balgo honey spoon httpurl hashtag,ismail cuneyt oktay demonstrates the balgo honey spoon httpurl hashtag,ismail cuneyt oktay demonstrates the balgo honey spoon httpurl hashtag
445,she brown but is a baby weh black born fi show you how far me cock gone ~,she brown but is a baby weh black born fi show you how far me cock gone ~,she brown but is a baby weh black born fi show you how far me cock gone ~
446,ito magandang question weed nga ba yun or cigarette lng ?,ito magandang question weed nga ba yun or cigarette lng ?,ito magandang question weed nga ba yun or cigarette lng ?
447,rt username : username lol hell yeah haha,rt username : username laughing out loud hell yeah haha,rt username : username laughing out loud hell yeah haha
448,username i used thot instead of thought cuz u no your place cuz hashtag,username i used thot instead of thought because you know your place because hashtag,username i used thot instead of thought because you know your place because hashtag
449,""" username : beliebers be like httpurl "" what the heldl im cying",""" username : beliebers be like httpurl "" what the heldl i'm crying",""" username : beliebers be like httpurl "" what the heldl i'm crying"
450,"rt username : dear gma , "" hi "" "" im louis tomlinson from bad direction "" httpurl","rt username : dear gma , "" hi "" "" i'm louis tomlinson from bad direction "" httpurl","rt username : dear gma , "" hi "" "" i'm louis tomlinson from bad direction "" httpurl"
451,vibing out to india arie right now .,vibing out to india arie right now .,vibing out to india arie right now .
452,"i'm at glorietta - username ( makati city , metro manila ) w / 13 others httpurl","i'm at glorietta - username ( makati city , metro manila ) w / 13 others httpurl","i'm at glorietta - username ( makati city , metro manila ) w / 13 others httpurl"
453,username omfg im a smiler and arianator,username oh my fucking god i'm a smiler and arianator,username oh my fucking god i'm a smiler and arianator
454,username sir tackle all the problems in ur own way . dont bend for others . be good to good . be bad to bad . u r a god . i becum mental onu,username sir tackle all the problems in your own way . don't bend for others . be good to good . be bad to bad . you are a god . i become mental onu,username sir tackle all the problems in your own way . don't bend for others . be good to good . be bad to bad . you are a god . i become mental onu
455,rt username : puerto rican pussy be like come home late again cabron httpurl,rt username : puerto rican pussy be like come home late again cabron httpurl,rt username : puerto rican pussy be like come home late again cabron httpurl
456,and on the radio this morning they were playing soml and talking about smoking wut r u doing,and on the radio this morning they were playing someone and talking about smoking what are you doing,and on the radio this morning they were playing someone and talking about smoking what are you doing
457,"lmao "" username : one outright fool just came into my dm to ask me if the girl in my avi is my gf . . . . ""","laughing my ass off "" username : one outright fool just came into my direct message to ask me if the girl in my avi is my girlfriend . . . . ""","laughing my ass off "" username : one outright fool just came into my direct message to ask me if the girl in my avi is my girlfriend . . . """
458,rt username : my pops such a real nigga breh,rt username : my pops such a real nigger breh,rt username : my pops such a real nigger breh
459,ocha : israel separates jerusalem from the west bank and empties area c httpurl,ocha : israel separates jerusalem from the west bank and empties area c httpurl,ocha : israel separates jerusalem from the west bank and empties area c httpurl
460,"only once in your life , u find someone who can completely turn your world around that person is u rana samaha hashtag","only once in your life , you find someone who can completely turn your world around that person is you rana samaha hashtag","only once in your life , you find someone who can completely turn your world around that person is you rana samaha hashtag"
461,"hashtag : don't sweat the technique httpurl don't sweat the techniqueeric b . & rakim , rakim | format : . . . httpurl","hashtag : don't sweat the technique httpurl don't sweat the techniqueeric b . & rakim , rakim | format : . . . httpurl","hashtag : don't sweat the technique httpurl don'ts sweat the programeric b . & rakim , rakim | format : . . . httpurlsurl"
462,yall peep out the new shugga shane video ? ? ? dis shit is dope . . . . . peep game tho . . . . . . . . httpurl,y'all peep out the new shugga shane video ? ? ? this shit is dope . . . . . peep game though . . . . . . . . httpurl,y'all peep out the new shugga shane video ? ? ? this shit is dope . . . shit . peep game though . . ! . . httpurl
463,rt username : rt to pass this chicken leg around . niggas broke but we all finna eat httpurl,rt username : rt to pass this chicken leg around . niggers broke but we all going to eat httpurl,rt username : rt to pass this chicken leg around . niggers broke but we all going to eat httpurl
464,give me facetime girl stoopp playing,give me facetime girl stop playing,give me facetime girl stop playing
465,rt username : username lls na you know you be flexin em,rt username : username laughing like shit no you know you be flexing em,rt username : username laughing like shit no you know you be flexing em
466,"rt username : late invite "" username : chillaxing at iya - oke's place , abeokuta street , ogba ! ! ! free to join me and my niggas . ""","rt username : late invite "" username : chillaxing at iya - oke's place , abeokuta street , ogba ! ! ! free to join me and my niggers . ""","rt username : late invite "" username - chillaxing at iya - oke's place , abeokuta street , ogba ! ! ! free to join me and my niggers . """
467,username lol that's not a selfie . but it's pretty awesome tho,username laughing out loud that's not a selfie . but it's pretty awesome though,username laughing out loud that's not a selfie . but it's pretty awesome though
468,username ehhhh dont judge a person by their forehead ah oops hahahahahaha,username ehhhh don't judge a person by their forehead ah oops hahahahahaha,username ehhhh don't judge a person by their forehead ah oops hahahahah
469,hashtag nakheel awards aed 1 . 2 bn construction contract for nakheel mall : property developer nakheel said on tue . . . httpurl,hashtag nakheel awards aed 1 . 2 bn construction contract for nakheel mall : property developer nakheel said on tuesday . . . httpurl,hashtag nakheel awards aed 1 . 2 bn construction contract for nakheer mall : property developer nakheels said on tuesday . . . httpurl
470,"all the indirectness smh , but you a woman right lls i guess not","all the indirectness shaking my head , but you a woman right laughing like shit i guess not","all the indirectness shaking my head , but you a woman right laughing like shit i guess not"
471,username do u still keep ur receipt on hand lol i have ur 390 receipt only,username do you still keep your receipt on hand laughing out loud i have your 390 receipt only,username do you still keep your receipt on hand laughing out loud i have your 390 receipt only
472,rt username : wimmer palker mcfadden foos jhaud transfer from heat 3,rt username : wimmer palker mcfadden foos jhaud transfer from heat 3,rt username : wimmer palker mcfadden foos jhaud transfer from heat 3
473,username oh hey solar . maybe u shouldn't have been sending them to huntermoore lil sloot,username oh hey solar . maybe you shouldn't have been sending them to huntermoore little sloot,username oh hey solar . maybe you shouldn't have been sending them to huntermoore little sloot
474,""" username : wer is this pik of me smoking sum1 tweet pik it to me ? x "" httpurl",""" username : where is this pick of me smoking someone tweet pick it to me ? x "" httpurl",""" username : where is this pick of me smoking someone tweet pick it to me ? x "" httpurl"
475,httpurl username being given responsibility of chosing new tn bjp president says dinamalar,httpurl username being given responsibility of chosing new tn bjp president says dinamalar,httpurl username being given responsibility of chosing new tn bjp president says dinamalar
476,username ilysm justin please please follow me its my biggest dream bae x14,username i love you so much justin please please follow me its my biggest dream bae x14,username i love you so much justin please please follow me its my biggest dream bae x14
477,it feel like i aint went swimmin n like 2 or 3 years,it feel like i ain't went swimming and like 2 or 3 years,it feel like i ain't went swimming and like 2 or 3 years
478,icymi : today in history : beth phoenix makes her wwe in - ring debut httpurl,in case you missed it : today in history : beth phoenix makes her wwe in - ring debut httpurl,in case you missed it : today in history : beth phoenix makes her wwe in - ring debut httpurl
479,"abo o gainile gape kitso akere rt "" username : yessssiiiirrrrr ! rt username : me and suna _ baby . . hashtag httpurl ""","abo o gainile gape kitso akere rt "" username : yes sir ! rt username : me and suna _ baby . . hashtag httpurl ""","abo o gainile gape kitso akere rt "" username : yes sir ! rt username - me and suna _ baby . . hashtag httpurl """
480,rt username : i wonder what the janoskians big announcement is tonight . . . im so excited . . . .,rt username : i wonder what the janoskians big announcement is tonight . . . i'm so excited . . . .,rt username : i wonder what the janoskians big announcement is tonight . . . i'm so excited . . ! .
481,"rt username : username username negde has to turn , but gde ? lol","rt username : username username negde has to turn , but gde ? laughing out loud","rt username : username username negde has to turn , but gde ? laughing out loud"
482,"its sunny , which means i have to go outside with people ! fuck u civilisation","it's sunny , which means i have to go outside with people ! fuck you civilisation","it's sunny , which means i have to go outside with people ! fuck you civilisation"
483,lol username cody cuzz its true hahaha,laughing out loud username cody because its true hahaha,laughing out loud username cody because its true hahaha
484,apple prepares ' one phone to rule the home ' httpurl vis username ( paywall ),apple prepares ' one phone to rule the home ' httpurl vis username ( paywall ),apple prepares'one phone to rule the home'httpurl vis username ( paywall )
485,my stepmom just texted me this . . . httpurl,my stepmom just texted me this . . . httpurl,my stepmom just texted me this . . . httpurl
486,rt username : idk . . . and idc either lmao but i guess we'll just wait and see when they come on stage : ),rt username : i don't know . . . and i don't care either laughing my ass off but i guess we'll just wait and see when they come on stage : ),rt username : i don't know . . . and i don don'll care either laughing my ass off but i guess we'll just wait and see when they come on stage : )
487,lol gey rides with homies . httpurl,laughing out loud gey rides with homies . httpurl,laughing out loud gey rides with homies . httpurl
488,if you a real nigga next time u get a cut put salt i . the wound or alcohol since u so real,if you a real nigger next time you get a cut put salt i . the wound or alcohol since you so real,if you a real nigger next time you get a cut put salt i . the wound or alcohol since you so real
489,username something about ur tweets with the mtn hashtag . something not right though .,username something about your tweets with the mtn hashtag . something not right though .,username something about your tweets with the mtn hashtag . something not right though .
490,hashtag from < < voir autrement > > a photo exhibit opening saturday username hashtag gallery httpurl,hashtag from < < voir autrement > > a photo exhibit opening saturday username hashtag gallery httpurl,hashtag from < < voir autrement > > a photo exhibit opening saturday username hashtag gallery httpurl
491,nice arange in la finca dinning table that wooden material of furnitures make beauty view of object httpurl,nice arange in la finca dinning table that wooden material of furnitures make beauty view of object httpurl,nice arange in la finca dinning table that wooden material of furnitures make beauty view of object httpurl
492,phone charging . . . thinkin bout unplugging it forreal,phone charging . . . thinking about unplugging it for real,phone charging . . . thinking about unplugging it for real
493,rt username : retweet for me . favorite for c . ronaldo . httpurl,rt username : retweet for me . favorite for c . ronaldo . httpurl,rt username : retweet for me . favorite for c . ronaldo . httpurl
494,rt username : httpurl beasiswa utk bassist di musicians institute hollywood usa : d,rt username : httpurl beasiswa utk bassist di musicians institute hollywood usa : d,rt username : httpurl beasiswa utk bassist di musicians institute hollywood usa : d
495,rt username : make sure ppl are who they appear to be before u decide to fall for em,rt username : make sure people are who they appear to be before you decide to fall for them,rt username : make sure people are who they appear to be before you decide to fall for them
496,rt username : i wonder what woulda happened if i never learnt the drums,rt username : i wonder what would have happened if i never learned the drums,rt username : i wonder what would have happened if i never learned the drums
497,lana del rey - summertime sadness ( shawn mendes ) httpurl httpurl,lana del rey - summer time sadness ( shawn mendes ) httpurl httpurl,lana del rey - summer time sadness ( shawn mendes ) httpurl httpurlsurl
498,seriously aint with this shit nomore .,seriously ain't with this shit no more .,seriously ain't with this shit no more .
499,dodgers send down chris withrow to make room for hyun - jin ryu . . dodgers mlb httpurl,dodgers send down chris withrow to make room for hyun - jin ryu . . dodgers major league baseball httpurl,dodgers send down chris withrow to make room for hyun - jin ryu . . dodgers major league baseball httpurl
500,rt username : i only like snapchat certain people so if i snapchat you your lucky,rt username : i only like snapchat certain people so if i snapchat you your lucky,rt username : i only like snapchat certain people so if i snapchate you your lucky
501,rt username : lil homies a real g httpurl,rt username : little homies a real g httpurl,rt username : little homies a real g httpurl
502,happy campaigning new year from ukip - a new year message from ukip leader nigel farage looks back at 2012 . . . httpurl,happy campaigning new year from ukip - a new year message from ukip leader nigel farage looks back at 2012 . . . httpurl,happy campaigning new year from ukip - a new year message from ukp leader nigel farage looks back at 2012 . . . httpurl
503,username cross fit uce . get fit fast lol,username cross fit uce . get fit fast laughing out loud,username cross fit uce . get fit fast laughing out loud
504,username wkwkw songong kemaren2 itu bkn jones ye tp single mulia bin wkwkw,username wkwkw songong kemaren2 itu bkn jones ye tp single mulia bin wkwkw,username wkwkw songong kemaren2 itu bkn jones ye tp single mulia bin wkkwk
